word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,syn
sardonic,"가소롭다는 듯한, 냉소적인, 조소하는",讥讽的，冷嘲的，轻蔑的,,/sɑːˈdɒnɪk/,,", satirical",,", satirical"
agitate,(특히 법적·사회적 사항 등의 변경을 강력히) 주장하다[요구하다],使焦虑；使躁动不安,,/ˈadʒɪteɪt/,,", perturb, fluster, ruffle, disconcert, unnerve, disquiet, disturb, distress, unsettle, bother, concern, trouble, cause anxiety to, make anxious, alarm, work up, flurry, worry",,", perturb, fluster, ruffle, disconcert, unnerve, disquiet, disturb, distress, unsettle, bother, concern, trouble, cause anxiety to, make anxious, alarm, work up, flurry, worry"
platitude,진부한 이야기[의견],陈腔滥调；老生常谈,,/ˈplatɪtjuːd/,,", truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut",,", truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut"
rue,후회하다,对…感到懊悔；对…感到后悔；因为…感到遗憾,,/ruː/,,", be sorry about, feel apologetic about, feel remorseful about, feel remorse for, repent of",,", be sorry about, feel apologetic about, feel remorseful about, feel remorse for, repent of"
feigned,"거짓의, 허위의; 꾸민",假装，装作，佯装(有某种感觉或生病、疲倦等),,/feɪnd/,,,,
dilettante,"딜레탕트, 호사가",一知半解者；半吊子；业余爱好者,,/ˌdɪlɪˈtanteɪ/,,", potterer, tinkerer, trifler, dallier",,", potterer, tinkerer, trifler, dallier"
lackadaisical,"부주의한, 태만한",无精打采的，萎靡不振的，不热心的,,/ˌlakəˈdeɪzɪk(ə)l/,,", lazy, lax, unenthusiastic, half-hearted, uninterested, lukewarm, indifferent, uncaring, unconcerned, casual, offhand, blasé, insouciant, leisurely, relaxed",,", lazy, lax, unenthusiastic, half-hearted, uninterested, lukewarm, indifferent, uncaring, unconcerned, casual, offhand, blasé, insouciant, leisurely, relaxed"
forfend,"막다, 방지하다",防止;阻止;挡住;挡开,,/fɔːˈfɛnd/,,,,
deficient,(필수적인 것이) 부족한[결핍된],缺乏的，缺少的,,/dɪˈfɪʃ(ə)nt/,,", wanting, defective, inadequate, insufficient, limited, poor, scant",,", wanting, defective, inadequate, insufficient, limited, poor, scant"
novitiate,수사[수녀] 수련 기간,(修士或修女的)初学期,,/nə(ʊ)ˈvɪʃɪət/,,", probation, trial period, test period, apprenticeship, training period, traineeship, training, initiation",,", probation, trial period, test period, apprenticeship, training period, traineeship, training, initiation"
hemistich,"(고대 영시의) 반행(半行), 불완전행(行)",半行;半行诗;诗的半句;不完全的诗行,,/ˈhɛmɪstɪk/,,,,
ancillary,보조적인,辅助的，补充的；附属的，附加的,,/anˈsɪləri/,,", subordinate, secondary, supportive",,", subordinate, secondary, supportive"
refuge,"피난(처), 피신(처), 도피(처)",避难（所）；庇护（所）；慰藉,,/ˈrɛfjuːdʒ/,,", haven, safe haven, shelter, sanctuary, retreat, asylum, place of safety, place of security, port in a storm, oasis, sanctum",,", haven, safe haven, shelter, sanctuary, retreat, asylum, place of safety, place of security, port in a storm, oasis, sanctum"
waver,"약하다, 약해지다, (불안정하게) 흔들리다[떨리다]",（尤指暂时地）动摇,,/ˈweɪvə/,,", quiver, tremble, twinkle, glimmer, wink, blink",,", quiver, tremble, twinkle, glimmer, wink, blink"
lavatory,변기; 화장실,厕所，卫生间,,/ˈlavət(ə)ri/,,", WC, water closet, convenience, public convenience, cloakroom, facilities, powder room, urinal, privy, latrine, outhouse, earth closet, jakes",,", WC, water closet, convenience, public convenience, cloakroom, facilities, powder room, urinal, privy, latrine, outhouse, earth closet, jakes"
forestall,미연에 방지하다,预先阻止；先发制人,,/fɔːˈstɔːl/,,", get in before, get ahead of, steal a march on, anticipate, second-guess, nip in the bud, thwart, frustrate, foil, stave off, ward off, fend off, avert, preclude, obviate, prevent, intercept, check, block, hinder, impede, obstruct",,", get in before, get ahead of, steal a march on, anticipate, second-guess, nip in the bud, thwart, frustrate, foil, stave off, ward off, fend off, avert, preclude, obviate, prevent, intercept, check, block, hinder, impede, obstruct"
archenemy,"최대의 적, 대적(大敵); (때로 the archenemy) 사탄(Satan), 마왕, 악마(Devil).",大敌;魔王;头号敌人;死敌;主要敌人,,/ˌärCHˈenəmē/,,,,
ephemeral,"수명이 짧은, 단명하는",短暂的，极短的；转瞬即逝的,,/ɪˈfɛm(ə)r(ə)l/,,", transient, fleeting, passing, short-lived, momentary, brief, short, cursory, temporary, impermanent, short-term",,", transient, fleeting, passing, short-lived, momentary, brief, short, cursory, temporary, impermanent, short-term"
apostasy,"[UC] 배교(背敎), 배신(背信); 변절, 탈당",叛教；变节；脱党,,/əˈpɒstəsi/,,", abandonment of belief, recantation",,", abandonment of belief, recantation"
iconology,도상학,(艺术上的)象征手法,,/ˌʌɪkəˈnɒlədʒi/,,,,
autocrat,"전제 군주, 독재자",独裁者；专制者；独断专行的人；专横的人,,/ˈɔːtəkrat/,,", dictator, despot, tyrant, monocrat",,", dictator, despot, tyrant, monocrat"
progeny,(사람·동식물의) 자손,（人或动植物的）后代，后裔,,/ˈprɒdʒəni/,,", children, young, family, brood",,", children, young, family, brood"
rancor,"[UC] (깊은) 원한, 유감; 적의, 악의; 증오",敌意;深仇大恨;兰克;仇视;怨恨,,/ˈraNGkər/,,", spite, hate, hatred, resentment, malice, ill will, malevolence, malignancy, animosity, antipathy, enmity, hostility, acrimony, venom, poison, vindictiveness, balefulness, vengefulness, vitriol, virulence, perniciousness, meanness, nastiness",,", spite, hate, hatred, resentment, malice, ill will, malevolence, malignancy, animosity, antipathy, enmity, hostility, acrimony, venom, poison, vindictiveness, balefulness, vengefulness, vitriol, virulence, perniciousness, meanness, nastiness"
palliate,(병을 치료하지는 않고) 증상만 완화시키다,减轻负面影响,,/ˈpalɪeɪt/,,", ease, relieve, soothe, take the edge off, assuage, allay, dull, soften, lessen, moderate, temper, mitigate, diminish, decrease, blunt, deaden, abate",,", ease, relieve, soothe, take the edge off, assuage, allay, dull, soften, lessen, moderate, temper, mitigate, diminish, decrease, blunt, deaden, abate"
avaricious,"탐욕스러운, 욕심 많은(greedy)",贪财的;贪婪的;贪心的,记忆技巧：avaric〔e〕贪心 + ious …的 → 贪婪的，贪心的,/avəˈrɪʃəs/,,", acquisitive, covetous, greedy, rapacious, mercenary, materialistic, mean, miserly",,", acquisitive, covetous, greedy, rapacious, mercenary, materialistic, mean, miserly"
dexter,오른쪽의,右侧的；幸运的,,/ˈdɛkstə/,,", dextral, at three o'clock",,", dextral, at three o'clock"
reimburse,배상[변제]하다,偿还；付还；补偿,,/ˌriːɪmˈbəːs/,,", recompense, refund, repay, square accounts with, settle up with",,", recompense, refund, repay, square accounts with, settle up with"
atrophy,(혈액 부족으로 인한 신체 부위의) 위축(증),（身体部位）萎缩；衰退,,/ˈatrəfi/,,", waste, become emaciated, wither, shrivel, shrivel up, shrink, become shrunken, dry up, decay, wilt",,", waste, become emaciated, wither, shrivel, shrivel up, shrink, become shrunken, dry up, decay, wilt"
hapless,"불운한, 불행한",不幸运的；不愉快的,,/ˈhapləs/,,", unlucky, luckless, out of luck, ill-starred, ill-fated, jinxed, cursed, doomed",,", unlucky, luckless, out of luck, ill-starred, ill-fated, jinxed, cursed, doomed"
pertinent,(특정한 상황에) 적절한[관련 있는],有关的，直接相关的,,/ˈpəːtɪnənt/,,", to the point, apposite, appropriate, suitable, fitting, fit, apt, applicable, material, germane, to the purpose, apropos",,", to the point, apposite, appropriate, suitable, fitting, fit, apt, applicable, material, germane, to the purpose, apropos"
incision,(특히 외과 수술 중의) 절개,（尤指手术的）切口,,/ɪnˈsɪʒ(ə)n/,,", opening, slit",,", opening, slit"
trenchant,정곡을 찌르는,（批评或意见）尖锐的，尖刻的，犀利的,,/ˈtrɛn(t)ʃ(ə)nt/,,", cutting, pointed, piercing, penetrating, sharp, keen, acute, razor-sharp, razor-edged, rapier-like",,", cutting, pointed, piercing, penetrating, sharp, keen, acute, razor-sharp, razor-edged, rapier-like"
raucous,"요란하고 거친, 시끌벅적한",（声音）刺耳的，尖厉的,,/ˈrɔːkəs/,,", strident, screeching, squawky, squawking, sharp, grating, discordant, dissonant, inharmonious, unmelodious, jarring, brassy",,", strident, screeching, squawky, squawking, sharp, grating, discordant, dissonant, inharmonious, unmelodious, jarring, brassy"
​​agnostic,불가지론자,不可知论者; 不可知论的,,/aɡˈnɒstɪk/,,,,
incumbent,(공적인 직위의) 재임자,现任的；在职的,,/ɪnˈkʌmb(ə)nt/,,", obligatory, mandatory, necessary, compulsory, required, requisite, essential, imperative",,", obligatory, mandatory, necessary, compulsory, required, requisite, essential, imperative"
credo,신조,信条；信念；教义,,/ˈkriːdəʊ/,,", belief, creed, credo, attitude, rule, golden rule, guideline, formula, standard, criterion, tenet, truism, code, ethic, maxim, motto, axiom, aphorism, notion, dictum, dogma, canon, law",,", belief, creed, credo, attitude, rule, golden rule, guideline, formula, standard, criterion, tenet, truism, code, ethic, maxim, motto, axiom, aphorism, notion, dictum, dogma, canon, law"
equivocate,"얼버무리다, 모호하게 말하다",（尤指为隐瞒真相而）说模棱两可的话，含糊其词,,/ɪˈkwɪvəkeɪt/,,", be evasive, be non-committal, be vague, be ambiguous, dodge the issue, evade the issue, beat about the bush, hedge, hedge one's bets, fudge the issue",,", be evasive, be non-committal, be vague, be ambiguous, dodge the issue, evade the issue, beat about the bush, hedge, hedge one's bets, fudge the issue"
fallacious,"잘못된, 틀린",错误的，谬误的,,/fəˈleɪʃəs/,,", false, untrue, wrong, incorrect, faulty, flawed, inaccurate, inexact, imprecise, mistaken, misinformed, misguided, misleading, deceptive, delusive, delusory, illusory, sophistic, specious, fictitious, spurious, fabricated, distorted, made up, trumped up",,", false, untrue, wrong, incorrect, faulty, flawed, inaccurate, inexact, imprecise, mistaken, misinformed, misguided, misleading, deceptive, delusive, delusory, illusory, sophistic, specious, fictitious, spurious, fabricated, distorted, made up, trumped up"
refractory,"다루기 힘든, (행실이) 불량한",不应的，难治的,,/rɪˈfrakt(ə)ri/,,", stubborn, stubborn as a mule, mulish, bull-headed, pig-headed, obdurate, headstrong, self-willed, wayward, wilful, perverse, contrary, recalcitrant, obstreperous, disobedient, insubordinate, rebellious, mutinous, defiant, stiff-necked, intractable, intransigent, unyielding, unmalleable, unmanageable, ungovernable, unpersuadable",,", stubborn, stubborn as a mule, mulish, bull-headed, pig-headed, obdurate, headstrong, self-willed, wayward, wilful, perverse, contrary, recalcitrant, obstreperous, disobedient, insubordinate, rebellious, mutinous, defiant, stiff-necked, intractable, intransigent, unyielding, unmalleable, unmanageable, ungovernable, unpersuadable"
foreshadow,"전조가 되다, 조짐을 나타내다",是…的预兆，预示,,/fɔːˈʃadəʊ/,,", presage, portend, prognosticate, foreshow, foretell, indicate, suggest, signal, herald, forewarn, warn of, promise, point to, anticipate",,", presage, portend, prognosticate, foreshow, foretell, indicate, suggest, signal, herald, forewarn, warn of, promise, point to, anticipate"
herbivorous,초식성(草食性)의(cf. CARNIVOROUS),食草的,记忆技巧：herbi〔= herb 草〕+ vor 吃 + ous 有…性质的，关于…的 → 食草的,/həːˈbɪv(ə)rəs/,,,,
unctuous,(말·행동이) 번지르르한,谄媚的；虚情假意的,,/ˈʌŋ(k)tjʊəs/,,", ingratiating, obsequious, fawning, servile, self-abasing, grovelling, subservient, wheedling, cajoling, crawling, cringing, Uriah Heepish, humble, toadying, hypocritical, insincere, flattering, adulatory, honey-tongued, silver-tongued, gushing, effusive, suave, urbane, glib, smooth, smooth-tongued, smooth-spoken, smooth-talking, slick, slippery, saccharine",,", ingratiating, obsequious, fawning, servile, self-abasing, grovelling, subservient, wheedling, cajoling, crawling, cringing, Uriah Heepish, humble, toadying, hypocritical, insincere, flattering, adulatory, honey-tongued, silver-tongued, gushing, effusive, suave, urbane, glib, smooth, smooth-tongued, smooth-spoken, smooth-talking, slick, slippery, saccharine"
ignominy,"불명예, 수치",耻辱，侮辱,,/ˈɪɡnəmɪni/,,", humiliation, embarrassment, mortification",,", humiliation, embarrassment, mortification"
opaque,불투명한,不透明的；不透光的,,/ə(ʊ)ˈpeɪk/,,", cloudy, filmy, blurred, smeared, hazy, misty, dirty, dingy, muddy, muddied, grimy, smeary",,", cloudy, filmy, blurred, smeared, hazy, misty, dirty, dingy, muddy, muddied, grimy, smeary"
belligerent,"적대적인, 공격적인",好斗的；挑衅的,,/bəˈlɪdʒ(ə)r(ə)nt/,,", aggressive, threatening, antagonistic, pugnacious, bellicose, truculent, confrontational, argumentative, quarrelsome, disputatious, contentious, militant, combative",,", aggressive, threatening, antagonistic, pugnacious, bellicose, truculent, confrontational, argumentative, quarrelsome, disputatious, contentious, militant, combative"
alias,"…라는 가명으로 알려진, 일명 …라 불리는",又名，亦名；化名为,,/ˈeɪlɪəs/,,", aka, also called, otherwise known as, otherwise",,", aka, also called, otherwise known as, otherwise"
equanimity,"(특히 힘든 상황에서의) 침착, 평정",（尤指处于震惊、失望或困境时的）镇静，沉着，冷静,,/ˌɛkwəˈnɪmɪti/,,", calmness, calm, level-headedness, self-possession, self-control, even-temperedness, coolness, cool-headedness, presence of mind",,", calmness, calm, level-headedness, self-possession, self-control, even-temperedness, coolness, cool-headedness, presence of mind"
labyrinth,미로,迷宫；曲径,,/ˈlab(ə)rɪnθ/,,", warren, network, complex, web, coil, entanglement",,", warren, network, complex, web, coil, entanglement"
perhaps,"아마, 어쩌면",或许，可能,,/pəˈhaps/,,", for all I know, for all you know, it could be, it could be that, it may be, it may be that, it is possible, it is possible that, possibly, conceivably, feasibly",,", for all I know, for all you know, it could be, it could be that, it may be, it may be that, it is possible, it is possible that, possibly, conceivably, feasibly"
apostle,사도(예수 열두 제자 중 한 사람),（信仰或政治运动的）宣导者，鼓吹者，先驱,,/əˈpɒs(ə)l/,,", evangelist, evangelical, proselytizer, spreader of the faith, spreader of the word, preacher, teacher",,", evangelist, evangelical, proselytizer, spreader of the faith, spreader of the word, preacher, teacher"
affix,"부착하다, 붙이다",使固定；附上；黏上；贴上,,/əˈfɪks/,,", stick, fasten, bind, fix, post, secure, join, connect, couple",,", stick, fasten, bind, fix, post, secure, join, connect, couple"
precipice,벼랑,悬崖，峭壁,,/ˈprɛsɪpɪs/,,", steep cliff, rock face, sheer drop, cliff, crag, bluff, height, escarpment, scarp, escarp, scar",,", steep cliff, rock face, sheer drop, cliff, crag, bluff, height, escarpment, scarp, escarp, scar"
microcosm,"소우주, (더 큰 것의) 축소판",缩影；微观世界,,/ˈmʌɪkrə(ʊ)kɒz(ə)m/,,,,
affidavit,선서 진술서,（法庭上作证用的）书面证词,,/ˌafɪˈdeɪvɪt/,,", statement, sworn statement, attestation, declaration, avowal, plea, submission, claim, contention, charge, allegation",,", statement, sworn statement, attestation, declaration, avowal, plea, submission, claim, contention, charge, allegation"
chronometer,크로노미터(특히 항해 때 쓰는 정밀 시계),精密时计,,/krəˈnɒmɪtə/,,", chronometer, small clock, timer",,", chronometer, small clock, timer"
susceptible,민감한,易受影响的，易受伤害的,,/səˈsɛptɪb(ə)l/,,", receptive to, vulnerable to, defenceless against",,", receptive to, vulnerable to, defenceless against"
hector,위협하다,威吓,,/ˈhɛktə/,,", intimidate, browbeat, cow, badger, chivvy, harass, torment, plague",,", intimidate, browbeat, cow, badger, chivvy, harass, torment, plague"
redress,(부당하거나 잘못된 것을) 바로잡다[시정하다],纠正，矫正；补偿，向…赔偿损失,,/rɪˈdrɛs/,,", correct, make right, put right, set right, right, put to rights, compensate for, sort out, deal with, amend, remedy, repair, fix, cure, heal, make good, reform, harmonize, retrieve, improve, better, ameliorate, adjust, resolve, settle, square",,", correct, make right, put right, set right, right, put to rights, compensate for, sort out, deal with, amend, remedy, repair, fix, cure, heal, make good, reform, harmonize, retrieve, improve, better, ameliorate, adjust, resolve, settle, square"
proliferate,"급증하다, (빠르게) 확산되다",激增,,/prəˈlɪfəreɪt/,,", grow rapidly, multiply, become more numerous, mushroom, snowball, burgeon, escalate, rocket, run riot",,", grow rapidly, multiply, become more numerous, mushroom, snowball, burgeon, escalate, rocket, run riot"
denounce,맹렬히 비난하다,（公开）谴责，痛斥,,/dɪˈnaʊns/,,", criticize, attack, censure, castigate, decry, revile, vilify, besmirch, discredit, damn, reject, proscribe",,", criticize, attack, censure, castigate, decry, revile, vilify, besmirch, discredit, damn, reject, proscribe"
harangue,장광설을 늘어놓다,长篇大论地演说；斥责,,/həˈraŋ/,,", lecture, diatribe, homily, polemic, rant, fulmination, broadside, verbal attack, verbal onslaught, invective",,", lecture, diatribe, homily, polemic, rant, fulmination, broadside, verbal attack, verbal onslaught, invective"
truculent,"반항적인, 약간 공격적인",易怒的；好斗的；寻衅的,,/ˈtrʌkjʊl(ə)nt/,,", aggressive, antagonistic, belligerent, pugnacious, bellicose, combative, confrontational, ready for a fight, hostile, obstreperous, argumentative, quarrelsome, contentious, uncooperative",,", aggressive, antagonistic, belligerent, pugnacious, bellicose, combative, confrontational, ready for a fight, hostile, obstreperous, argumentative, quarrelsome, contentious, uncooperative"
synchronize,동시에 발생하다[움직이다]; 동시에 발생하게[움직이게] 하다,（使）同步，（使）同时发生,,/ˈsɪŋkrənʌɪz/,,", happening at the same time, done at the same time, contemporaneous, concomitant, coinciding, coincident, synchronous, synchronized, synchronic",,", happening at the same time, done at the same time, contemporaneous, concomitant, coinciding, coincident, synchronous, synchronized, synchronic"
euphonious,듣기 좋은,悦耳的，动听的,,/juːˈfəʊnɪəs/,,", sweet-sounding, mellow, mellifluous, dulcet, sweet, honeyed, lyrical, silvery, silver-toned, golden, bell-like, rhythmical, lilting, pleasant, agreeable, soothing",,", sweet-sounding, mellow, mellifluous, dulcet, sweet, honeyed, lyrical, silvery, silver-toned, golden, bell-like, rhythmical, lilting, pleasant, agreeable, soothing"
